X,Y,ORIG_FID,label
1001.440593,988.8116969,0,
1001.440593,996.2002016,0,
1001.440593,996.2002016,1,
1003.22089,996.2002016,1,L5e
1001.440593,996.2002016,2,
1001.440593,1001.934169,2,
1001.440593,988.8116969,3,
1010.843651,988.8116969,3,
1010.843651,988.8116969,4,
1010.843651,996.1757836,4,
1010.843651,996.1757836,5,
1009.186683,996.1757836,5,L5f
1001.440593,1001.934169,6,
1003.640657,1001.934169,6,
1010.843651,1001.934188,7,
1010.843651,996.1757836,7,
1010.843651,1001.934174,8,
1017.601848,1001.934174,8,
1024.897708,1001.934174,9,
1024.897708,988.8116969,9,
1017.601848,988.8116969,10,
1010.843651,988.8116969,10,
1017.601848,995.2833048,11,
1019.757572,995.2833048,11,L5g
1017.601848,995.2833048,12,
1017.601848,988.8116969,12,
1017.601848,988.8116969,13,
1024.897708,988.8116969,13,
1024.897708,988.8116969,14,
1032.235134,988.8116969,14,
1032.235134,988.8116969,15,
1032.235134,995.3049554,15,
1024.897708,1001.934174,16,
1031.044244,1001.934174,16,
1032.235134,988.8116969,17,
1038.962445,988.8116969,17,
1038.962445,988.8116969,18,
1038.962445,995.057658,18,
1038.962445,988.8116969,19,
1044.659236,988.8116969,19,
1044.659236,988.8116969,20,
1044.659236,996.6835929,20,
1044.659236,996.6835929,21,
1046.39929,996.6835929,21,L5j
1044.659236,988.8116969,22,
1054.728589,988.8116969,22,
1038.962445,995.057658,23,
1036.698836,995.057658,23,L5i
1032.235134,995.3049554,24,
1030.371713,995.3049554,24,L5h
1003.640657,1001.934169,25,
1003.640657,1004.310155,25,
1003.640657,1001.934169,26,
1010.843651,1001.934188,26,
1001.440593,1001.934169,27,
981.7040357,1001.934169,27,
981.7040357,1001.934169,28,
981.7040357,1004.654474,28,
981.7040357,1001.934169,29,
980.1752038,1001.934169,29,
1001.440593,988.8116969,30,
994.4638034,988.8116969,30,
994.4638034,994.695004,31,
994.4638034,996.23238,31,L5d
1054.728589,995.2103788,32,
1054.728589,996.6835929,32,L5k
1017.601848,988.8116969,33,
1017.601848,983.1660532,33,
1017.601848,983.1660532,34,
1017.033934,983.1660532,34,L5c
1032.235134,988.8116969,35,
1032.235134,983.3335418,35,
1032.235134,983.3335418,36,
1033.391075,983.3335418,36,L5l
1017.601848,995.2833048,37,
1017.601848,1001.934174,37,
1017.601848,1001.934174,38,
1024.897708,1001.934174,38,
994.4638034,994.695004,39,
996.7170808,994.695004,39,S5d
1017.601848,995.2833048,40,
1016.127139,995.2833048,40,S5e
1054.728589,995.2103788,41,
1053.435381,995.2103788,41,S5f
1054.728589,995.2103788,42,
1054.728589,988.8116969,42,
994.4638034,994.695004,43,
994.4638034,988.8116969,43,
996.3505903,991.5305695,44,B
999.716736,991.5305695,44,B
1002.744018,990.8954927,45,B
1009.058609,990.8954927,45,B
1013.076986,991.0866928,46,B
1015.979147,991.0866928,46,B
1027.409385,990.9566831,47,B
1030.383874,990.9566831,47,B
1002.626193,1000.469636,48,B
1010.035784,1000.469636,48,B
